MUNID,VOTES,POSITION,NAMEOFCANDIDATE,WARD,INCUMBENT,ELECTED,ACCLAIMED
30029,201,MAYOR,MAYOR 201,,1,yes,yes
31002,840,MAYOR,MAYOR 840,,0,yes,yes
31008,313,MAYOR,MAYOR 313,,0,no,no
31017,752,MAYOR,MAYOR 752,,1,no,yes
31035,954,MAYOR,MAYOR 954,,1,no,yes
32002,567,MAYOR,MAYOR 567,,1,yes,yes
32004,289,MAYOR,MAYOR 289,,0,yes,yes
32011,262,MAYOR,MAYOR 262,,0,no,no
32018,336,MAYOR,MAYOR 336,,1,no,yes
32027,303,MAYOR,MAYOR 303,,1,yes,yes
32038,895,MAYOR,MAYOR 895,,1,yes,yes
32042,168,MAYOR,MAYOR 168,,0,no,yes
32045,447,MAYOR,MAYOR 447,,1,no,no
34003,573,MAYOR,MAYOR 573,,0,no,no
34007,36,MAYOR,MAYOR 36,,1,yes,yes
34011,746,MAYOR,MAYOR 746,,0,yes,yes
34015,828,MAYOR,MAYOR 828,,1,no,no
34024,104,MAYOR,MAYOR 104,,0,no,no
34028,102,MAYOR,MAYOR 102,,0,yes,yes
34035,293,MAYOR,MAYOR 293,,1,yes,yes
37003,811,MAYOR,MAYOR 811,,1,no,yes
37008,698,MAYOR,MAYOR 698,,0,yes,yes
37020,558,MAYOR,MAYOR 558,,0,yes,yes
37025,484,MAYOR,MAYOR 484,,0,no,no
37034,264,MAYOR,MAYOR 264,,1,yes,yes
37043,211,MAYOR,MAYOR 211,,1,no,yes
37049,505,MAYOR,MAYOR 505,,1,yes,yes
38002,948,MAYOR,MAYOR 948,,1,yes,yes
38005,407,MAYOR,MAYOR 407,,1,no,no
38011,534,MAYOR,MAYOR 534,,1,yes,yes
38016,410,MAYOR,MAYOR 410,,1,yes,yes
38018,22,MAYOR,MAYOR 22,,0,no,no
38019,844,MAYOR,MAYOR 844,,1,no,yes
38030,589,MAYOR,MAYOR 589,,0,yes,yes
38031,84,MAYOR,MAYOR 84,,0,yes,yes
38033,338,MAYOR,MAYOR 338,,1,no,no
38037,677,MAYOR,MAYOR 677,,1,yes,yes
38040,270,MAYOR,MAYOR 270,,0,yes,yes
39002,742,MAYOR,MAYOR 742,,1,no,yes
39003,591,MAYOR,MAYOR 591,,0,yes,yes
39010,900,MAYOR,MAYOR 900,,1,no,no
39013,817,MAYOR,MAYOR 817,,1,yes,yes
39020,876,MAYOR,MAYOR 876,,1,yes,yes
39025,388,MAYOR,MAYOR 388,,1,yes,yes
39041,594,MAYOR,MAYOR 594,,0,yes,yes
39057,472,MAYOR,MAYOR 472,,1,no,no
40003,184,MAYOR,MAYOR 184,,0,yes,yes
40010,515,MAYOR,MAYOR 515,,1,yes,yes
40015,65,MAYOR,MAYOR 65,,1,no,no
40025,424,MAYOR,MAYOR 424,,0,no,no
40028,456,MAYOR,MAYOR 456,,0,no,yes
40030,20,MAYOR,MAYOR 20,,0,no,yes
40046,979,MAYOR,MAYOR 979,,1,no,yes
40048,51,MAYOR,MAYOR 51,,1,no,no
40050,886,MAYOR,MAYOR 886,,0,no,no
41004,968,MAYOR,MAYOR 968,,1,no,no
41010,810,MAYOR,MAYOR 810,,1,yes,yes
41020,457,MAYOR,MAYOR 457,,0,no,no
41030,199,MAYOR,MAYOR 199,,1,yes,yes
41037,251,MAYOR,MAYOR 251,,0,no,yes
41043,602,MAYOR,MAYOR 602,,1,no,no
41053,820,MAYOR,MAYOR 820,,1,no,yes
41061,175,MAYOR,MAYOR 175,,0,no,no
42004,512,MAYOR,MAYOR 512,,1,no,yes
42005,39,MAYOR,MAYOR 39,,0,no,no
42013,341,MAYOR,MAYOR 341,,1,no,no
42029,99,MAYOR,MAYOR 99,,1,yes,yes
42031,297,MAYOR,MAYOR 297,,0,yes,yes
42041,369,MAYOR,MAYOR 369,,0,yes,yes
42047,46,MAYOR,MAYOR 46,,0,yes,yes
42055,413,MAYOR,MAYOR 413,,1,yes,yes
42059,252,MAYOR,MAYOR 252,,1,yes,yes
43002,312,MAYOR,MAYOR 312,,0,yes,yes
43013,86,MAYOR,MAYOR 86,,1,yes,yes
43017,643,MAYOR,MAYOR 643,,0,no,no
43021,212,MAYOR,MAYOR 212,,0,no,no
43025,76,MAYOR,MAYOR 76,,0,no,no
43030,913,MAYOR,MAYOR 913,,1,yes,yes
43031,401,MAYOR,MAYOR 401,,0,yes,yes
43040,902,MAYOR,MAYOR 902,,0,no,yes
43047,151,MAYOR,MAYOR 151,,1,no,yes
43050,183,MAYOR,MAYOR 183,,1,yes,yes
43064,547,MAYOR,MAYOR 547,,1,no,yes
43068,712,MAYOR,MAYOR 712,,0,no,yes
43070,549,MAYOR,MAYOR 549,,1,no,no
43072,529,MAYOR,MAYOR 529,,1,yes,yes
43074,691,MAYOR,MAYOR 691,,0,no,yes
43080,106,MAYOR,MAYOR 106,,1,no,no
44002,54,MAYOR,MAYOR 54,,0,yes,yes
44018,333,MAYOR,MAYOR 333,,0,no,yes
44027,851,MAYOR,MAYOR 851,,1,yes,yes
44042,401,MAYOR,MAYOR 401,,0,no,no
44053,146,MAYOR,MAYOR 146,,0,yes,yes
44065,82,MAYOR,MAYOR 82,,1,yes,yes
46002,567,MAYOR,MAYOR 567,,0,no,yes
46011,231,MAYOR,MAYOR 231,,1,yes,yes
46020,420,MAYOR,MAYOR 420,,1,yes,yes
46024,785,MAYOR,MAYOR 785,,1,no,no
47002,95,MAYOR,MAYOR 95,,1,no,no
47003,907,MAYOR,MAYOR 907,,0,yes,yes
47007,116,MAYOR,MAYOR 116,,1,yes,yes
47015,318,MAYOR,MAYOR 318,,1,no,yes
47018,687,MAYOR,MAYOR 687,,0,yes,yes
47023,190,MAYOR,MAYOR 190,,0,no,yes
47030,164,MAYOR,MAYOR 164,,0,yes,yes
47041,593,MAYOR,MAYOR 593,,0,yes,yes
47046,369,MAYOR,MAYOR 369,,0,no,yes
47048,374,MAYOR,MAYOR 374,,0,no,no
47050,574,MAYOR,MAYOR 574,,0,no,no
47063,110,MAYOR,MAYOR 110,,1,yes,yes
47068,193,MAYOR,MAYOR 193,,0,yes,yes
47077,458,MAYOR,MAYOR 458,,0,yes,yes
47091,453,MAYOR,MAYOR 453,,1,yes,yes
47096,936,MAYOR,MAYOR 936,,1,yes,yes
47098,782,MAYOR,MAYOR 782,,0,no,no
1012,828,MAYOR,MAYOR 828,,1,yes,yes
6005,522,MAYOR,MAYOR 522,,1,no,no
7008,135,MAYOR,MAYOR 135,,1,no,no
7015,20,MAYOR,MAYOR 20,,1,yes,yes
7024,907,MAYOR,MAYOR 907,,1,yes,yes
9004,529,MAYOR,MAYOR 529,,1,yes,yes
10005,958,MAYOR,MAYOR 958,,0,yes,yes
12005,749,MAYOR,MAYOR 749,,1,yes,yes
12010,771,MAYOR,MAYOR 771,,0,no,yes
13002,825,MAYOR,MAYOR 825,,0,yes,yes
15014,281,MAYOR,MAYOR 281,,0,no,no
16002,366,MAYOR,MAYOR 366,,1,yes,yes
20002,231,MAYOR,MAYOR 231,,1,yes,yes
23008,593,MAYOR,MAYOR 593,,0,yes,yes
25005,310,MAYOR,MAYOR 310,,1,no,no
28005,12,MAYOR,MAYOR 12,,1,no,yes
28030,177,MAYOR,MAYOR 177,,0,yes,yes
29002,744,MAYOR,MAYOR 744,,1,yes,yes
29006,327,MAYOR,MAYOR 327,,0,no,no
31011,924,MAYOR,MAYOR 924,,1,no,yes
31016,305,MAYOR,MAYOR 305,,1,yes,yes
34021,906,MAYOR,MAYOR 906,,1,yes,yes
36003,272,MAYOR,MAYOR 272,,0,no,no
37001,395,MAYOR,MAYOR 395,,1,no,no
37039,331,MAYOR,MAYOR 331,,0,yes,yes
39036,940,MAYOR,MAYOR 940,,1,no,no
43042,937,MAYOR,MAYOR 937,,0,no,no
43052,399,MAYOR,MAYOR 399,,1,yes,yes
47064,393,MAYOR,MAYOR 393,,0,no,yes
48001,616,MAYOR,MAYOR 616,,0,yes,yes
48017,823,MAYOR,MAYOR 823,,0,yes,yes
48019,95,MAYOR,MAYOR 95,,0,yes,yes
48021,842,MAYOR,MAYOR 842,,0,no,yes
48022,611,MAYOR,MAYOR 611,,1,yes,yes
48026,634,MAYOR,MAYOR 634,,0,no,no
48031,242,MAYOR,MAYOR 242,,1,yes,yes
48034,572,MAYOR,MAYOR 572,,0,yes,yes
48044,632,MAYOR,MAYOR 632,,1,no,no
48050,646,MAYOR,MAYOR 646,,0,no,yes
48069,1000,MAYOR,MAYOR 1000,,1,yes,yes
49003,199,MAYOR,MAYOR 199,,1,yes,yes
49005,736,MAYOR,MAYOR 736,,1,yes,yes
49012,189,MAYOR,MAYOR 189,,0,yes,yes
49014,748,MAYOR,MAYOR 748,,1,no,no
49018,265,MAYOR,MAYOR 265,,0,no,yes
49019,633,MAYOR,MAYOR 633,,1,no,yes
49022,233,MAYOR,MAYOR 233,,1,no,yes
49024,746,MAYOR,MAYOR 746,,1,no,yes
49028,480,MAYOR,MAYOR 480,,0,yes,yes
49031,427,MAYOR,MAYOR 427,,1,no,no
49032,217,MAYOR,MAYOR 217,,0,no,yes
49036,428,MAYOR,MAYOR 428,,0,no,no
49039,869,MAYOR,MAYOR 869,,0,yes,yes
49041,182,MAYOR,MAYOR 182,,1,yes,yes
49046,508,MAYOR,MAYOR 508,,1,yes,yes
49048,837,MAYOR,MAYOR 837,,1,yes,yes
49051,783,MAYOR,MAYOR 783,,0,no,no
49054,825,MAYOR,MAYOR 825,,0,no,yes
49056,443,MAYOR,MAYOR 443,,0,no,yes
49058,796,MAYOR,MAYOR 796,,0,yes,yes
49066,187,MAYOR,MAYOR 187,,1,yes,yes
49071,879,MAYOR,MAYOR 879,,1,no,no
51001,544,MAYOR,MAYOR 544,,1,yes,yes
51009,826,MAYOR,MAYOR 826,,0,no,no
51011,619,MAYOR,MAYOR 619,,1,no,yes
51015,330,MAYOR,MAYOR 330,,0,yes,yes
51021,847,MAYOR,MAYOR 847,,0,no,yes
51025,191,MAYOR,MAYOR 191,,1,no,yes
51026,371,MAYOR,MAYOR 371,,0,yes,yes
51028,682,MAYOR,MAYOR 682,,0,yes,yes
51034,810,MAYOR,MAYOR 810,,0,yes,yes
52001,340,MAYOR,MAYOR 340,,0,yes,yes
52003,399,MAYOR,MAYOR 399,,0,yes,yes
52004,374,MAYOR,MAYOR 374,,0,no,yes
52007,920,MAYOR,MAYOR 920,,1,yes,yes
52019,284,MAYOR,MAYOR 284,,0,no,no
52026,777,MAYOR,MAYOR 777,,0,no,no
52028,873,MAYOR,MAYOR 873,,1,yes,yes
52031,602,MAYOR,MAYOR 602,,1,no,yes
52092,564,MAYOR,MAYOR 564,,1,no,yes
53005,637,MAYOR,MAYOR 637,,1,no,no
54001,329,MAYOR,MAYOR 329,,0,yes,yes
54006,677,MAYOR,MAYOR 677,,1,yes,yes
54008,341,MAYOR,MAYOR 341,,1,yes,yes
54010,649,MAYOR,MAYOR 649,,0,no,yes
54014,412,MAYOR,MAYOR 412,,1,yes,yes
54021,948,MAYOR,MAYOR 948,,0,no,yes
54024,632,MAYOR,MAYOR 632,,1,no,no
54026,483,MAYOR,MAYOR 483,,0,yes,yes
54029,770,MAYOR,MAYOR 770,,0,yes,yes
54032,819,MAYOR,MAYOR 819,,1,no,no
54034,979,MAYOR,MAYOR 979,,1,yes,yes
54036,557,MAYOR,MAYOR 557,,1,no,no
54038,917,MAYOR,MAYOR 917,,0,no,yes
54042,999,MAYOR,MAYOR 999,,1,no,yes
54047,70,MAYOR,MAYOR 70,,0,no,no
54049,760,MAYOR,MAYOR 760,,1,no,yes
54052,937,MAYOR,MAYOR 937,,1,yes,yes
54054,84,MAYOR,MAYOR 84,,0,yes,yes
54056,560,MAYOR,MAYOR 560,,1,yes,yes
54058,413,MAYOR,MAYOR 413,,0,yes,yes
54062,181,MAYOR,MAYOR 181,,0,no,no
54066,632,MAYOR,MAYOR 632,,1,no,no
54068,732,MAYOR,MAYOR 732,,0,no,no
56014,842,MAYOR,MAYOR 842,,1,yes,yes
56027,711,MAYOR,MAYOR 711,,1,yes,yes
56031,102,MAYOR,MAYOR 102,,0,yes,yes
56037,109,MAYOR,MAYOR 109,,0,yes,yes
56048,799,MAYOR,MAYOR 799,,1,no,no
56052,39,MAYOR,MAYOR 39,,0,no,yes
56056,325,MAYOR,MAYOR 325,,0,no,yes
56065,219,MAYOR,MAYOR 219,,1,yes,yes
56066,736,MAYOR,MAYOR 736,,1,no,yes
56070,581,MAYOR,MAYOR 581,,0,yes,yes
56073,731,MAYOR,MAYOR 731,,1,no,yes
56076,557,MAYOR,MAYOR 557,,0,no,yes
56077,782,MAYOR,MAYOR 782,,1,yes,yes
57001,781,MAYOR,MAYOR 781,,0,no,yes
57004,172,MAYOR,MAYOR 172,,1,no,no
57006,442,MAYOR,MAYOR 442,,1,no,no
57008,951,MAYOR,MAYOR 951,,1,no,yes
57011,934,MAYOR,MAYOR 934,,1,yes,yes
57014,917,MAYOR,MAYOR 917,,1,no,no
57016,445,MAYOR,MAYOR 445,,1,no,no
57019,18,MAYOR,MAYOR 18,,0,no,no
57021,250,MAYOR,MAYOR 250,,0,no,yes
57023,26,MAYOR,MAYOR 26,,1,yes,yes
57028,897,MAYOR,MAYOR 897,,0,no,yes
57038,986,MAYOR,MAYOR 986,,0,yes,yes
57039,168,MAYOR,MAYOR 168,,1,no,yes
57040,119,MAYOR,MAYOR 119,,0,yes,yes
57041,433,MAYOR,MAYOR 433,,1,no,no
57051,99,MAYOR,MAYOR 99,,1,no,yes
57061,288,MAYOR,MAYOR 288,,1,no,yes
57066,415,MAYOR,MAYOR 415,,1,yes,yes
57076,919,MAYOR,MAYOR 919,,0,no,no
57079,398,MAYOR,MAYOR 398,,0,yes,yes
57091,634,MAYOR,MAYOR 634,,1,no,no
57096,840,MAYOR,MAYOR 840,,0,no,yes
58001,136,MAYOR,MAYOR 136,,1,yes,yes
58004,371,MAYOR,MAYOR 371,,0,no,yes
58007,924,MAYOR,MAYOR 924,,1,no,yes
58012,157,MAYOR,MAYOR 157,,0,no,no
58016,885,MAYOR,MAYOR 885,,1,yes,yes
58019,976,MAYOR,MAYOR 976,,1,no,yes
58028,540,MAYOR,MAYOR 540,,0,yes,yes
58034,353,MAYOR,MAYOR 353,,0,no,yes
58041,299,MAYOR,MAYOR 299,,1,no,no
58044,28,MAYOR,MAYOR 28,,0,yes,yes
58051,103,MAYOR,MAYOR 103,,1,no,yes
58054,915,MAYOR,MAYOR 915,,0,no,yes
58058,383,MAYOR,MAYOR 383,,0,no,yes
58059,78,MAYOR,MAYOR 78,,1,yes,yes
58066,960,MAYOR,MAYOR 960,,0,yes,yes
59001,40,MAYOR,MAYOR 40,,0,yes,yes
59011,889,MAYOR,MAYOR 889,,1,yes,yes
59012,743,MAYOR,MAYOR 743,,1,no,no
59016,720,MAYOR,MAYOR 720,,1,yes,yes
59019,47,MAYOR,MAYOR 47,,1,no,no
59024,909,MAYOR,MAYOR 909,,0,no,no
59031,979,MAYOR,MAYOR 979,,1,no,no
59040,672,MAYOR,MAYOR 672,,0,no,yes
59042,16,MAYOR,MAYOR 16,,0,yes,yes
59045,261,MAYOR,MAYOR 261,,0,no,no
60001,23,MAYOR,MAYOR 23,,0,yes,yes
60008,984,MAYOR,MAYOR 984,,0,yes,yes
60011,522,MAYOR,MAYOR 522,,1,yes,yes
60021,537,MAYOR,MAYOR 537,,0,yes,yes
60025,312,MAYOR,MAYOR 312,,0,yes,yes
60034,445,MAYOR,MAYOR 445,,1,yes,yes
60040,39,MAYOR,MAYOR 39,,1,yes,yes
60042,27,MAYOR,MAYOR 27,,0,yes,yes
60049,680,MAYOR,MAYOR 680,,0,yes,yes
